env_init_label,env_init,seed,sym_var_init,sym_var_final,sym_var_second_half_mean,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C,converged
8_8_8,8_8_8,15,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_8_8,8_8_8,16,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_8_8,8_8_8,17,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,5,1
8_8_8,8_8_8,18,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,5,1
8_8_8,8_8_8,19,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
0_2_8,0_2_8,0,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,1,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,2,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,3,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,5,1
0_2_8,0_2_8,4,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,5,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,6,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,7,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,8,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,9,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,10,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,11,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,12,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,13,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,14,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,15,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,16,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,17,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,18,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1
0_2_8,0_2_8,19,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,5,1
8_6_0,8_6_0,0,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,1,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,2,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,3,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,4,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,5,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,6,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,7,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,8,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,9,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,10,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,11,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,12,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,13,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,14,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,15,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,16,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,17,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,18,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
8_6_0,8_6_0,19,0.888889,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1
