seed,env_init,init_mode,sym_var_init,sym_var_final,sym_var_second_half_mean,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C,converged,attractor
63,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
64,5_2_6,current,0.888889,0.222222,0.222222,8,1,6,3,0,8,7,0,4,0,no_conv
64,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
64,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
64,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
65,5_2_6,current,0.888889,0.000000,0.000000,8,4,6,3,4,8,7,4,4,1,other_conv
65,5_2_6,no_update_first_step,0.000000,0.222222,0.311111,8,0,6,3,0,8,7,1,4,0,no_conv
65,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
65,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
66,5_2_6,current,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1,S=0
66,5_2_6,no_update_first_step,0.000000,0.222222,0.222222,8,7,6,3,8,8,7,8,4,0,no_conv
66,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
66,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
67,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
67,5_2_6,no_update_first_step,0.000000,0.222222,0.257778,8,7,6,3,6,8,7,7,4,0,no_conv
67,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
67,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
68,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
68,5_2_6,no_update_first_step,0.000000,0.222222,0.204444,8,6,6,3,6,8,7,7,4,0,no_conv
68,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
68,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
69,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
69,5_2_6,no_update_first_step,0.000000,0.222222,0.257778,8,7,6,3,6,8,7,7,4,0,no_conv
69,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
69,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
70,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
70,5_2_6,no_update_first_step,0.000000,0.222222,0.222222,8,0,6,3,1,8,7,0,4,0,no_conv
70,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
70,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
71,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
71,5_2_6,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
71,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
71,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
72,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
72,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
72,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
72,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
73,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
73,5_2_6,no_update_first_step,0.000000,0.222222,0.222222,8,8,6,3,7,8,7,8,4,0,no_conv
73,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
73,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
74,5_2_6,current,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1,S=0
74,5_2_6,no_update_first_step,0.000000,0.222222,0.222222,8,7,6,3,8,8,7,8,4,0,no_conv
74,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
74,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
75,5_2_6,current,0.888889,0.000000,0.000000,8,4,6,3,4,8,7,4,4,1,other_conv
75,5_2_6,no_update_first_step,0.000000,0.222222,0.311111,8,0,6,3,0,8,7,1,4,0,no_conv
75,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
75,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
76,5_2_6,current,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1,S=0
76,5_2_6,no_update_first_step,0.000000,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1,S=0
76,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
76,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
77,5_2_6,current,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1,S=0
77,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,7,6,3,8,8,7,8,4,0,no_conv
77,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
77,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
78,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
78,5_2_6,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
78,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
78,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
79,5_2_6,current,0.888889,0.222222,0.222222,8,2,6,3,2,8,7,1,4,0,no_conv
79,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
79,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
79,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
80,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
80,5_2_6,no_update_first_step,0.000000,0.222222,0.257778,8,7,6,3,6,8,7,7,4,0,no_conv
80,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
80,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,5,1,S=8
81,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,1,8,7,0,4,0,no_conv
81,5_2_6,no_update_first_step,0.000000,0.222222,0.222222,8,7,6,3,8,8,7,8,4,0,no_conv
81,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
81,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
82,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
82,5_2_6,no_update_first_step,0.000000,0.222222,0.204444,8,6,6,3,6,8,7,7,4,0,no_conv
82,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
82,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
83,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,1,8,7,0,4,0,no_conv
83,5_2_6,no_update_first_step,0.000000,0.222222,0.222222,8,7,6,3,8,8,7,8,4,0,no_conv
83,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
83,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
84,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
84,5_2_6,no_update_first_step,0.000000,0.000000,0.071111,8,0,6,3,0,8,7,0,4,1,S=0
84,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
84,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
85,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
85,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
85,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
85,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
86,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
86,5_2_6,no_update_first_step,0.000000,0.222222,0.293333,8,3,6,3,4,8,7,3,4,0,no_conv
86,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
86,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
87,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
87,5_2_6,no_update_first_step,0.000000,0.222222,0.320000,8,0,6,3,1,8,7,1,4,0,no_conv
87,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
87,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
88,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
88,5_2_6,no_update_first_step,0.000000,0.222222,0.231111,8,2,6,3,3,8,7,2,4,0,no_conv
88,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
88,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
89,5_2_6,current,0.888889,0.222222,0.222222,8,4,6,3,4,8,7,3,4,0,no_conv
89,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
89,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
89,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
90,5_2_6,current,0.222222,0.222222,0.222222,8,5,6,3,4,8,7,4,4,0,no_conv
90,5_2_6,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
90,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
90,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
91,5_2_6,current,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1,S=0
91,5_2_6,no_update_first_step,0.000000,0.222222,0.222222,8,7,6,3,8,8,7,8,4,0,no_conv
91,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
91,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
92,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
92,5_2_6,no_update_first_step,0.000000,0.222222,0.257778,8,1,6,3,0,8,7,1,4,0,no_conv
92,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
92,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
93,5_2_6,current,0.888889,0.000000,0.000000,8,3,6,3,3,8,7,3,4,1,other_conv
93,5_2_6,no_update_first_step,0.000000,0.222222,0.222222,8,7,6,3,8,8,7,8,4,0,no_conv
93,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
93,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
94,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
94,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
94,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
94,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
95,5_2_6,current,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1,S=0
95,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
95,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
95,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
96,5_2_6,current,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1,S=0
96,5_2_6,no_update_first_step,0.000000,0.000000,0.115556,8,0,6,3,0,8,7,0,3,1,S=0
96,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
96,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,5,1,S=8
97,5_2_6,current,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1,S=0
97,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
97,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
97,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
98,5_2_6,current,0.888889,0.222222,0.222222,8,2,6,3,3,8,7,2,4,0,no_conv
98,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
98,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
98,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
99,5_2_6,current,0.888889,0.222222,0.222222,8,1,6,3,0,8,7,0,4,0,no_conv
99,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
99,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
99,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
