seed,env_mode,env_init,mechanism,sigma,sym_var_init,sym_var_final,sym_var_second_half_mean,collective_var_final,pairwise_dist_final,real_var_final,imag_var_final,converged,attractor,time_to_sync,misID_rate,misID_second_half,misID_post_sync,misID_run_mean,belief_lag,kl_belief,H_belief,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C
2,isolated,5_2_6,noisy,,0.000000,0.000000,0.008889,2.962963,4.983522,4.666667,4.222222,1,S=0,35,0.000000,0.000000,0.000000,0.000000,0.000000,5.302541,0.837686,8,0,6,3,0,8,7,0,3
2,isolated,5_2_6,infer,0.40,0.888889,0.222222,0.204444,1.851852,3.800113,4.666667,0.666667,0,no_conv,,0.693333,0.680000,,4.248810,8.900327,24.244162,0.785980,8,1,7,3,0,8,7,0,6
2,isolated,5_2_6,infer,0.70,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=0,11,0.280000,0.000000,0.196581,6.111111,6.955556,10.069476,0.288635,8,0,6,3,0,8,7,0,4
2,isolated,5_2_6,infer,1.00,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,other_conv,7,0.013333,0.000000,0.000000,0.666667,0.216667,1.242015,0.062783,8,3,6,3,3,8,7,3,4
2,isolated,8_8_8,off,,0.000000,4.666667,5.573333,4.000000,5.891869,4.666667,2.666667,0,no_conv,,0.800000,0.746667,,26.583333,30.882937,27.631021,0.000000,8,1,6,3,6,8,7,5,4
2,isolated,8_8_8,hard,,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4
2,isolated,8_8_8,noisy,,0.222222,0.000000,0.053333,1.851852,3.902735,2.888889,2.666667,1,S=8,48,0.000000,0.000000,0.000000,0.000000,0.000000,5.302541,0.837686,8,8,6,4,8,8,7,8,4
2,isolated,8_8_8,infer,0.40,0.222222,0.000000,0.035556,2.444444,4.426029,4.666667,2.666667,1,S=8,43,0.480000,0.386667,0.333333,13.541667,10.145833,15.521137,0.393999,8,8,6,3,8,8,7,8,4
2,isolated,8_8_8,infer,0.70,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,4,0.013333,0.000000,0.000000,0.666667,8.000000,1.053573,0.065565,8,8,6,3,8,8,7,8,4
2,isolated,8_8_8,infer,1.00,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,3,0.020000,0.000000,0.007092,0.666667,0.666667,0.442033,0.018484,8,8,6,3,8,8,7,8,4
3,isolated,5_2_6,off,,0.000000,4.666667,4.275556,4.000000,5.891869,4.666667,2.666667,0,no_conv,,0.900000,0.800000,,37.222222,26.266667,31.084899,0.000000,8,1,6,3,6,8,7,5,4
3,isolated,5_2_6,hard,,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=0,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,0,6,3,0,8,7,0,4
3,isolated,5_2_6,noisy,,0.888889,0.222222,0.044444,2.888889,4.655376,6.888889,1.555556,0,no_conv,,0.000000,0.000000,,0.000000,0.000000,5.302541,0.837686,8,1,6,2,0,8,7,0,5
3,isolated,5_2_6,infer,0.40,0.888889,0.000000,0.115556,2.074074,3.933126,4.666667,1.555556,1,S=0,45,0.700000,0.800000,0.733333,4.185714,11.035105,25.220626,0.898109,8,0,6,3,0,8,7,0,5
