seed,env_mode,env_init,mechanism,sym_var_init,sym_var_final,sym_var_second_half_mean,collective_var_init,collective_var_final,collective_var_second_half_mean,pairwise_dist_init,pairwise_dist_final,pairwise_dist_second_half_mean,real_var_final,imag_var_final,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C,converged,attractor
1,isolated,5_2_6,soft,0.222222,0.666667,0.382222,0.222222,3.185185,2.690370,1.382088,5.167351,4.676579,4.666667,4.222222,8,2,6,3,3,8,7,1,3,0,no_conv
1,isolated,5_2_6,delayed,0.888889,0.222222,0.222222,0.444444,2.518519,2.518519,1.895186,4.526406,4.513925,4.666667,2.666667,8,0,6,3,0,8,7,1,4,0,no_conv
1,isolated,5_2_6,noisy,0.888889,0.222222,0.053333,0.444444,3.333333,2.945185,1.895186,5.229624,4.943597,5.555556,4.222222,8,0,6,3,0,8,8,1,3,0,no_conv
1,isolated,8_8_8,off,0.000000,4.666667,5.057778,0.000000,4.000000,4.026667,0.000000,5.891869,5.922681,4.666667,2.666667,8,1,6,3,6,8,7,5,4,0,no_conv
1,isolated,8_8_8,hard,0.222222,0.000000,0.000000,0.074074,2.444444,2.088889,0.666667,4.426029,3.952842,4.666667,2.666667,8,8,6,3,8,8,7,8,4,1,S=8
1,isolated,8_8_8,soft,0.222222,0.000000,0.000000,0.074074,2.444444,2.085926,0.666667,4.426029,3.947436,4.666667,2.666667,8,8,6,3,8,8,7,8,4,1,S=8
1,isolated,8_8_8,delayed,0.222222,0.000000,0.000000,0.074074,2.444444,2.444444,0.666667,4.426029,4.426029,4.666667,2.666667,8,8,6,3,8,8,7,8,4,1,S=8
1,isolated,8_8_8,noisy,0.222222,0.000000,0.008889,0.074074,2.444444,2.148148,0.666667,4.426029,3.992975,4.666667,2.666667,8,8,6,3,8,8,7,8,4,1,S=8
2,shared,5_2_6,off,0.000000,0.222222,0.311111,0.000000,0.148148,0.349630,0.000000,0.942809,1.506253,0.222222,0.000000,7,6,8,6,7,8,6,7,8,0,no_conv
2,shared,5_2_6,hard,0.666667,0.000000,0.000000,0.222222,0.074074,0.157037,1.333333,0.666667,0.873254,0.222222,0.000000,6,0,8,5,0,8,6,0,8,1,S=0
2,shared,5_2_6,soft,0.222222,0.000000,0.000000,0.074074,0.222222,0.154074,0.666667,1.333333,0.817545,0.000000,0.666667,6,0,6,6,0,7,6,0,8,1,S=0
2,shared,5_2_6,delayed,0.666667,0.000000,0.000000,0.222222,0.148148,0.168889,1.333333,0.942809,0.960409,0.222222,0.222222,6,0,8,6,0,8,7,0,7,1,S=0
2,shared,5_2_6,noisy,0.222222,0.000000,0.008889,0.074074,0.370370,0.242963,0.666667,1.490712,1.300999,0.888889,0.222222,8,0,7,6,0,8,6,0,8,1,S=0
2,shared,8_8_8,off,0.000000,0.666667,0.328889,0.000000,0.666667,0.325926,0.000000,2.393847,1.547432,0.666667,0.666667,8,2,6,6,3,7,7,4,8,0,no_conv
2,shared,8_8_8,hard,0.222222,0.000000,0.000000,0.074074,0.074074,0.130370,0.666667,0.666667,0.738405,0.000000,0.222222,6,8,8,6,8,8,6,8,7,1,S=8
2,shared,8_8_8,soft,0.222222,0.000000,0.000000,0.074074,0.000000,0.133333,0.666667,0.000000,0.739745,0.000000,0.000000,6,8,7,6,8,7,6,8,7,1,S=8
2,shared,8_8_8,delayed,0.666667,0.000000,0.000000,0.222222,0.000000,0.136296,1.333333,0.000000,0.852198,0.000000,0.000000,8,0,8,8,0,8,8,0,8,1,S=0
2,shared,8_8_8,noisy,0.222222,0.000000,0.026667,0.074074,0.074074,0.219259,0.666667,0.666667,1.185129,0.000000,0.222222,8,8,8,8,8,8,8,8,7,1,S=8
2,isolated,5_2_6,off,0.000000,4.666667,4.275556,0.296296,4.000000,3.792593,1.333333,5.891869,5.748211,4.666667,2.666667,8,1,6,3,6,8,7,5,4,0,no_conv
2,isolated,5_2_6,hard,0.888889,0.000000,0.000000,0.592593,2.444444,2.296296,1.885618,4.426029,4.228868,4.666667,2.666667,8,0,6,3,0,8,7,0,4,1,S=0
2,isolated,5_2_6,soft,0.222222,0.000000,0.000000,0.370370,2.444444,2.485926,1.745356,4.426029,4.470628,4.666667,2.666667,8,0,6,3,0,8,7,0,4,1,S=0
2,isolated,5_2_6,delayed,0.888889,0.222222,0.222222,0.592593,2.518519,2.518519,1.885618,4.526406,4.513925,4.666667,2.666667,8,0,6,3,0,8,7,1,4,0,no_conv
2,isolated,5_2_6,noisy,0.000000,0.000000,0.008889,0.296296,2.962963,2.717037,1.333333,4.983522,4.734499,4.666667,4.222222,8,0,6,3,0,8,7,0,3,1,S=0
2,isolated,8_8_8,off,0.000000,4.666667,5.573333,0.000000,4.000000,4.198519,0.000000,5.891869,6.052182,4.666667,2.666667,8,1,6,3,6,8,7,5,4,0,no_conv
2,isolated,8_8_8,hard,0.222222,0.000000,0.000000,0.074074,2.444444,2.133333,0.666667,4.426029,4.011991,4.666667,2.666667,8,8,6,3,8,8,7,8,4,1,S=8
