seed,env_init,schedule,observer,converged,attractor,time_to_sync,sym_var_final,misID_snap,misID_half,misID_post,nll_half,brier_half,switch_rate,acf1,acf2,acf5,mis_acf1,turning_rate,period2_score,spec_peak_freq,spec_peak_share,final_S_A,final_S_B,final_S_C
159,5_2_6,sync,static,1,S=0,32,0.000000,0.426667,0.320000,0.333333,0.811727,0.481068,0.176871,0.654531,0.652273,0.452640,0.399833,0.069444,0.062500,0.020000,0.240680,0,0,0
160,5_2_6,sync,static,1,S=0,46,0.000000,0.753333,0.706667,0.666667,2.678891,1.049224,0.360544,0.788924,0.763832,0.652862,0.404495,0.152778,0.145833,0.026667,0.498088,0,0,0
161,5_2_6,sync,static,1,S=0,46,0.000000,0.533333,0.360000,0.333333,0.822996,0.538798,0.170068,0.688593,0.556475,0.268837,0.399355,0.055556,0.055556,0.033333,0.172292,0,0,0
162,5_2_6,sync,static,1,S=0,20,0.000000,0.686667,0.640000,0.655556,1.481285,0.950237,0.190476,0.538979,0.235759,0.203262,0.318446,0.083333,0.076389,0.186667,0.206070,0,0,0
163,5_2_6,sync,static,1,S=0,36,0.000000,0.306667,0.026667,0.000000,0.210093,0.084528,0.183673,0.651552,0.445635,0.048805,0.510736,0.062500,0.055556,0.040000,0.143449,0,0,0
164,5_2_6,sync,static,0,no_conv,,0.222222,0.800000,0.693333,,4.661530,1.191047,0.442177,0.818616,0.705995,0.473878,0.219675,0.173611,0.173611,0.020000,0.549620,0,1,0
165,5_2_6,sync,static,1,S=0,36,0.000000,0.660000,0.613333,0.547619,1.660929,0.942917,0.408163,0.791006,0.774583,0.761532,0.140110,0.187500,0.173611,0.020000,0.463254,0,0,0
166,5_2_6,sync,static,0,no_conv,,0.888889,0.553333,0.480000,,3.721029,0.843703,0.544218,0.702531,0.530458,0.433460,0.163280,0.250000,0.243056,0.020000,0.240395,6,8,8
167,5_2_6,sync,static,1,S=0,27,0.000000,0.253333,0.093333,0.086957,0.228265,0.140622,0.190476,0.834781,0.783630,0.552548,0.400577,0.062500,0.055556,0.026667,0.265208,0,0,0
168,5_2_6,sync,static,1,S=0,34,0.000000,0.493333,0.306667,0.312500,0.444663,0.313490,0.204082,0.664774,0.438914,0.638723,0.406745,0.076389,0.069444,0.080000,0.242601,0,0,0
169,5_2_6,sync,static,1,S=0,6,0.000000,0.133333,0.000000,0.075758,0.003642,0.000115,0.061224,0.614722,0.570151,0.564076,0.406376,0.013889,0.006944,0.020000,0.109055,0,0,0
170,5_2_6,sync,static,1,S=0,14,0.000000,0.200000,0.066667,0.046296,0.262571,0.151460,0.149660,0.656368,0.589519,0.186042,0.451061,0.041667,0.041667,0.020000,0.212824,0,0,0
171,5_2_6,sync,static,0,no_conv,,0.222222,0.773333,0.760000,,3.832066,1.112827,0.557823,0.795673,0.679599,0.532044,0.247863,0.229167,0.215278,0.026667,0.313444,8,7,8
172,5_2_6,sync,static,1,S=0,19,0.000000,0.386667,0.133333,0.225806,0.327536,0.189222,0.238095,0.740247,0.572824,0.418613,0.509482,0.083333,0.076389,0.020000,0.295202,0,0,0
173,5_2_6,sync,static,0,no_conv,,0.888889,0.680000,0.653333,,2.998562,1.036188,0.591837,0.618227,0.454401,0.388379,0.231667,0.270833,0.270833,0.020000,0.410202,2,2,4
174,5_2_6,sync,static,1,S=0,30,0.000000,0.420000,0.226667,0.150000,0.416032,0.260776,0.197279,0.715345,0.607325,0.265727,0.505450,0.069444,0.055556,0.053333,0.210089,0,0,0
175,5_2_6,sync,static,1,S=0,21,0.000000,0.446667,0.173333,0.241379,0.330662,0.219260,0.217687,0.615166,0.687993,0.690163,0.485917,0.111111,0.090278,0.020000,0.260542,0,0,0
176,5_2_6,sync,static,0,no_conv,,0.222222,0.613333,0.586667,,2.628842,0.912649,0.598639,0.468206,0.379105,0.224855,-0.044179,0.298611,0.284722,0.020000,0.239818,3,2,3
177,5_2_6,sync,static,1,S=0,32,0.000000,0.680000,0.626667,0.555556,1.376713,0.872135,0.340136,0.741198,0.714853,0.651683,0.387920,0.145833,0.138889,0.020000,0.420925,0,0,0
178,5_2_6,sync,static,1,other_conv,49,0.000000,0.540000,0.386667,0.000000,1.648900,0.649756,0.578231,0.538614,0.364016,0.188980,0.162245,0.277778,0.270833,0.033333,0.390184,3,3,3
179,5_2_6,sync,static,1,S=0,48,0.000000,0.753333,0.773333,1.000000,3.410543,1.295352,0.517007,0.590875,0.493415,0.191637,-0.105030,0.250000,0.243056,0.033333,0.207756,0,0,0
180,5_2_6,sync,static,1,S=0,25,0.000000,0.473333,0.373333,0.373333,0.584090,0.415042,0.190476,0.560126,0.513105,0.077120,0.298661,0.076389,0.069444,0.046667,0.155794,0,0,0
181,5_2_6,sync,static,1,S=0,33,0.000000,0.366667,0.346667,0.333333,0.884061,0.553692,0.102041,0.641600,0.806648,0.398440,0.364990,0.055556,0.041667,0.033333,0.135849,0,0,0
182,5_2_6,sync,static,1,S=0,31,0.000000,0.726667,0.746667,0.736842,1.402028,0.912306,0.299320,0.656310,0.454572,0.376798,0.183398,0.097222,0.090278,0.106667,0.364067,0,0,0
183,5_2_6,sync,static,1,S=0,39,0.000000,0.613333,0.573333,0.454545,0.921158,0.660802,0.306122,0.615527,0.620523,0.418870,0.293378,0.138889,0.125000,0.020000,0.267759,0,0,0
184,5_2_6,sync,static,0,no_conv,,0.222222,0.666667,0.626667,,2.720031,0.879845,0.591837,0.571472,0.433731,0.221223,0.198178,0.243056,0.229167,0.026667,0.221670,2,2,1
185,5_2_6,sync,static,1,S=0,29,0.000000,0.540000,0.333333,0.333333,0.651566,0.459604,0.319728,0.819138,0.728221,0.247344,0.319361,0.104167,0.097222,0.033333,0.337827,0,0,0
186,5_2_6,sync,static,0,no_conv,,0.222222,0.680000,0.680000,,2.254528,1.101675,0.414966,0.704494,0.632340,0.598421,0.205858,0.159722,0.152778,0.020000,0.410196,1,0,0
187,5_2_6,sync,static,1,S=0,24,0.000000,0.513333,0.333333,0.333333,0.763259,0.522755,0.204082,0.681179,0.621585,0.402280,0.613469,0.069444,0.062500,0.033333,0.238579,0,0,0
188,5_2_6,sync,static,1,S=0,47,0.000000,0.606667,0.413333,0.333333,1.824612,0.737879,0.272109,0.761308,0.704366,0.326950,0.405421,0.097222,0.083333,0.020000,0.310772,0,0,0
189,5_2_6,sync,static,1,S=0,11,0.000000,0.293333,0.173333,0.230769,0.244526,0.181316,0.088435,0.565846,0.344524,0.213587,0.488112,0.027778,0.027778,0.020000,0.112065,0,0,0
190,5_2_6,sync,static,0,no_conv,,0.222222,0.726667,0.653333,,1.891477,1.006877,0.414966,0.575457,0.405858,0.265248,0.301998,0.187500,0.187500,0.073333,0.225526,1,0,0
191,5_2_6,sync,static,1,S=0,35,0.000000,0.360000,0.146667,0.044444,0.381799,0.220874,0.176871,0.531157,0.458081,0.299427,0.502774,0.083333,0.069444,0.020000,0.125611,0,0,0
192,5_2_6,sync,static,1,S=0,28,0.000000,0.713333,0.720000,0.712121,1.897766,0.984464,0.265306,0.776600,0.699643,0.352520,0.392377,0.104167,0.097222,0.033333,0.308559,0,0,0
193,5_2_6,sync,static,1,S=0,34,0.000000,0.406667,0.320000,0.187500,0.533245,0.374741,0.190476,0.568029,0.447717,0.234506,0.335549,0.076389,0.069444,0.086667,0.154344,0,0,0
194,5_2_6,sync,static,1,S=0,41,0.000000,0.813333,0.786667,0.518519,1.485789,0.962400,0.278912,0.687899,0.652120,0.595882,0.266291,0.104167,0.097222,0.040000,0.336799,0,0,0
195,5_2_6,sync,static,1,S=0,31,0.000000,0.466667,0.240000,0.087719,0.803056,0.354793,0.224490,0.711953,0.634156,0.378752,0.489042,0.055556,0.041667,0.053333,0.340924,0,0,0
196,5_2_6,sync,static,1,S=0,29,0.000000,0.620000,0.413333,0.333333,0.661020,0.449005,0.183673,0.833174,0.726846,0.505445,0.575966,0.055556,0.055556,0.020000,0.249980,0,0,0
197,5_2_6,sync,static,1,S=0,42,0.000000,0.700000,0.626667,0.583333,2.494188,1.046293,0.326531,0.687234,0.600150,0.387245,0.325307,0.138889,0.131944,0.026667,0.382185,0,0,0
198,5_2_6,sync,static,1,S=0,42,0.000000,0.666667,0.573333,0.291667,1.175066,0.735775,0.258503,0.666944,0.528405,0.319046,0.234671,0.062500,0.055556,0.020000,0.229239,0,0,0
199,5_2_6,sync,static,1,S=0,26,0.000000,0.473333,0.360000,0.375000,0.612827,0.425685,0.197279,0.771650,0.745888,0.542885,0.607308,0.062500,0.048611,0.020000,0.333680,0,0,0
0,5_2_6,sync,leaky,1,S=0,45,0.000000,0.400000,0.120000,0.000000,0.580803,0.283693,0.258503,0.661404,0.352124,0.219536,0.496618,0.097222,0.097222,0.026667,0.179472,0,0,0
1,5_2_6,sync,leaky,0,no_conv,,0.222222,0.600000,0.506667,,1.227916,0.612971,0.530612,0.920780,0.864309,0.778130,0.098948,0.222222,0.222222,0.020000,0.652948,7,8,8
2,5_2_6,sync,leaky,0,no_conv,,0.222222,0.566667,0.480000,,1.383389,0.623412,0.551020,0.621699,0.454403,0.094247,0.105299,0.187500,0.180556,0.033333,0.236117,0,0,1
3,5_2_6,sync,leaky,1,S=0,48,0.000000,0.420000,0.173333,0.000000,0.566694,0.265432,0.333333,0.772992,0.656048,0.343365,0.480978,0.118056,0.111111,0.020000,0.289920,0,0,0
4,5_2_6,sync,leaky,1,S=0,49,0.000000,0.373333,0.293333,0.000000,0.849406,0.435804,0.272109,0.615658,0.431064,0.346585,0.249280,0.104167,0.104167,0.020000,0.229686,0,0,0
5,5_2_6,sync,leaky,1,S=0,47,0.000000,0.566667,0.533333,0.111111,1.310637,0.620589,0.530612,0.577804,0.395661,0.181905,0.071137,0.201389,0.201389,0.113333,0.235939,0,0,0
6,5_2_6,sync,leaky,1,S=0,49,0.000000,0.566667,0.600000,0.333333,1.413688,0.717881,0.346939,0.480175,0.380564,0.077471,0.388620,0.111111,0.097222,0.033333,0.204113,0,0,0
7,5_2_6,sync,leaky,0,no_conv,,0.222222,0.333333,0.333333,,1.081002,0.492221,0.292517,0.514186,0.368728,0.072601,0.380135,0.104167,0.097222,0.073333,0.205433,1,0,0
8,5_2_6,sync,leaky,1,S=0,46,0.000000,0.540000,0.386667,0.416667,1.105453,0.520738,0.414966,0.716031,0.571905,0.392778,0.352053,0.152778,0.152778,0.020000,0.340768,0,0,0
9,5_2_6,sync,leaky,0,no_conv,,0.222222,0.406667,0.320000,,1.027268,0.499227,0.312925,0.788277,0.650160,0.095236,0.230319,0.083333,0.083333,0.033333,0.255518,0,1,0
10,5_2_6,sync,leaky,1,S=0,47,0.000000,0.420000,0.466667,0.444444,1.215722,0.654447,0.312925,0.580056,0.206420,-0.121725,0.135441,0.076389,0.076389,0.060000,0.136230,0,0,0
11,5_2_6,sync,leaky,1,S=0,45,0.000000,0.440000,0.306667,0.066667,0.826576,0.426604,0.360544,0.572270,0.440148,0.277063,0.125810,0.166667,0.152778,0.100000,0.242941,0,0,0
12,5_2_6,sync,leaky,1,S=0,47,0.000000,0.293333,0.120000,0.000000,0.597267,0.279671,0.346939,0.796284,0.748759,0.575532,0.215573,0.125000,0.118056,0.020000,0.490900,0,0,0
13,5_2_6,sync,leaky,1,S=0,48,0.000000,0.560000,0.360000,0.000000,1.017360,0.501257,0.374150,0.600614,0.372187,0.213522,0.257784,0.138889,0.138889,0.033333,0.261092,0,0,0
14,5_2_6,sync,leaky,1,S=0,46,0.000000,0.313333,0.226667,0.166667,0.711689,0.333331,0.299320,0.580874,0.331044,0.273250,0.253371,0.104167,0.104167,0.020000,0.223075,0,0,0
15,5_2_6,sync,leaky,0,no_conv,,0.222222,0.400000,0.386667,,1.060603,0.535441,0.333333,0.461197,0.447001,-0.040342,0.133413,0.145833,0.138889,0.180000,0.174789,0,0,1
16,5_2_6,sync,leaky,1,S=0,49,0.000000,0.513333,0.320000,0.666667,0.958696,0.461170,0.523810,0.705386,0.523726,0.448169,0.187475,0.243056,0.243056,0.020000,0.376427,0,0,0
17,5_2_6,sync,leaky,0,no_conv,,0.222222,0.640000,0.586667,,1.394708,0.647666,0.537415,0.799860,0.714903,0.321687,0.228370,0.187500,0.173611,0.020000,0.400906,1,0,1
18,5_2_6,sync,leaky,1,S=0,49,0.000000,0.440000,0.266667,0.000000,0.927470,0.454564,0.421769,0.755109,0.622692,0.021224,0.336995,0.138889,0.131944,0.040000,0.274431,0,0,0
19,5_2_6,sync,leaky,1,S=0,48,0.000000,0.633333,0.573333,0.500000,1.207598,0.651496,0.340136,0.803128,0.759942,0.612362,0.300231,0.131944,0.118056,0.020000,0.441273,0,0,0
20,5_2_6,sync,leaky,1,S=0,43,0.000000,0.380000,0.133333,0.000000,0.635765,0.284012,0.380952,0.801706,0.730793,0.578498,0.358851,0.166667,0.152778,0.020000,0.458377,0,0,0
21,5_2_6,sync,leaky,0,no_conv,,0.222222,0.480000,0.426667,,0.948575,0.519775,0.408163,0.614919,0.562524,0.322683,0.263954,0.187500,0.180556,0.020000,0.240890,0,0,1
22,5_2_6,sync,leaky,0,no_conv,,0.888889,0.540000,0.640000,,1.499233,0.722762,0.435374,0.596758,0.304014,0.087798,0.383080,0.145833,0.145833,0.026667,0.290080,2,0,0
23,5_2_6,sync,leaky,0,no_conv,,2.000000,0.620000,0.613333,,1.549548,0.732415,0.394558,0.670917,0.564449,0.261929,0.273266,0.145833,0.131944,0.040000,0.322900,0,0,3
