seed,env_mode,c_update,step,sym_var,collective_var,pairwise_dist,obs_R_A,obs_S_A,obs_I_A,obs_R_B,obs_S_B,obs_I_B,obs_R_C,obs_S_C,obs_I_C
0,shared,C_update_off,17,0.000000,0.000000,0.000000,8,6,8,8,6,8,8,6,8
0,shared,C_update_off,18,0.000000,0.000000,0.000000,8,5,8,8,5,8,8,5,8
0,shared,C_update_off,19,0.000000,0.074074,0.666667,8,4,7,8,4,8,8,4,8
0,shared,C_update_off,20,0.666667,0.296296,1.550094,8,3,8,7,4,8,7,5,8
0,shared,C_update_off,21,0.222222,0.444444,1.962117,8,4,8,6,5,8,6,4,7
0,shared,C_update_off,22,0.222222,0.592593,2.149830,7,3,6,5,2,7,5,2,8
0,shared,C_update_off,23,0.222222,0.148148,0.942809,6,1,8,7,2,8,7,2,8
0,shared,C_update_off,24,0.000000,0.074074,0.666667,8,1,7,8,1,8,8,1,8
0,shared,C_update_off,25,0.000000,0.000000,0.000000,8,0,8,8,0,8,8,0,8
0,shared,C_update_off,26,0.666667,0.592593,2.216761,8,1,8,6,2,8,6,3,7
0,shared,C_update_off,27,0.222222,0.444444,1.895186,8,3,7,6,4,8,6,4,7
0,shared,C_update_off,28,0.222222,0.222222,1.382088,8,4,7,7,5,8,7,4,8
0,shared,C_update_off,29,0.222222,0.148148,1.138071,7,4,8,8,3,8,8,4,8
0,shared,C_update_off,30,0.222222,0.222222,1.382088,8,4,8,7,4,8,7,5,7
0,shared,C_update_off,31,0.666667,0.518519,2.139203,7,5,7,5,4,8,6,3,7
0,shared,C_update_off,32,0.222222,0.666667,2.341994,6,3,7,4,4,8,3,3,8
0,shared,C_update_off,33,0.666667,0.518519,2.048755,5,3,8,6,4,8,7,5,7
0,shared,C_update_off,34,0.222222,0.148148,1.138071,8,5,7,8,5,8,8,6,8
0,shared,C_update_off,35,0.222222,0.370370,1.727180,8,6,8,7,6,8,6,5,7
0,shared,C_update_off,36,0.222222,0.222222,1.382088,7,5,7,7,5,8,8,6,7
0,shared,C_update_off,37,0.222222,0.074074,0.666667,8,5,7,8,6,7,8,5,7
0,shared,C_update_off,38,0.222222,0.666667,2.393847,8,4,7,6,3,8,5,4,7
0,shared,C_update_off,39,0.666667,0.370370,1.821367,6,3,6,5,4,7,6,5,6
0,shared,C_update_off,40,0.666667,0.370370,1.727180,8,4,6,7,3,7,7,2,7
0,shared,C_update_off,41,0.666667,0.370370,1.727180,8,2,7,7,3,8,7,4,8
0,shared,C_update_off,42,0.222222,0.148148,1.138071,8,4,8,8,5,8,8,5,7
0,shared,C_update_off,43,0.666667,0.370370,1.794111,8,5,7,8,4,8,7,3,7
0,shared,C_update_off,44,0.666667,0.592593,2.149830,8,3,7,6,4,8,6,5,8
0,shared,C_update_off,45,0.222222,0.370370,1.727180,7,4,7,5,3,8,6,4,7
0,shared,C_update_off,46,0.222222,0.222222,1.154701,7,4,7,8,3,8,8,3,8
0,shared,C_update_off,47,0.000000,0.074074,0.666667,8,3,8,7,3,8,7,3,8
0,shared,C_update_off,48,0.222222,0.148148,1.138071,8,3,8,7,4,8,7,3,8
0,shared,C_update_off,49,0.222222,0.370370,1.745356,8,3,8,6,2,8,6,3,8
0,isolated,C_update_on,0,0.888889,0.296296,1.333333,5,3,6,5,1,6,5,1,6
0,isolated,C_update_on,1,0.888889,0.666667,2.433521,7,2,6,5,0,6,5,2,5
0,isolated,C_update_on,2,0.000000,0.888889,2.774852,8,1,6,5,1,7,5,1,5
0,isolated,C_update_on,3,0.666667,1.407407,3.534003,8,2,6,5,0,8,5,1,5
0,isolated,C_update_on,4,0.222222,2.000000,4.133134,8,1,6,3,0,8,5,0,5
0,isolated,C_update_on,5,0.222222,2.000000,4.133134,8,1,6,3,0,8,5,0,5
0,isolated,C_update_on,6,0.222222,2.518519,4.485952,8,1,6,3,0,8,7,1,4
0,isolated,C_update_on,7,0.000000,2.444444,4.426029,8,1,6,3,1,8,7,1,4
0,isolated,C_update_on,8,0.222222,2.518519,4.485952,8,2,6,3,1,8,7,2,4
0,isolated,C_update_on,9,0.000000,2.444444,4.426029,8,2,6,3,2,8,7,2,4
0,isolated,C_update_on,10,0.222222,2.518519,4.485952,8,3,6,3,2,8,7,3,4
0,isolated,C_update_on,11,0.000000,2.444444,4.426029,8,3,6,3,3,8,7,3,4
0,isolated,C_update_on,12,0.222222,2.518519,4.485952,8,4,6,3,3,8,7,4,4
0,isolated,C_update_on,13,0.000000,2.444444,4.426029,8,4,6,3,4,8,7,4,4
0,isolated,C_update_on,14,0.222222,2.518519,4.485952,8,5,6,3,4,8,7,5,4
0,isolated,C_update_on,15,0.222222,2.518519,4.485952,8,4,6,3,5,8,7,4,4
0,isolated,C_update_on,16,0.222222,2.518519,4.485952,8,5,6,3,4,8,7,5,4
0,isolated,C_update_on,17,0.222222,2.518519,4.485952,8,4,6,3,5,8,7,4,4
0,isolated,C_update_on,18,0.222222,2.518519,4.485952,8,5,6,3,4,8,7,5,4
0,isolated,C_update_on,19,0.222222,2.518519,4.485952,8,4,6,3,5,8,7,4,4
0,isolated,C_update_on,20,0.222222,2.518519,4.485952,8,5,6,3,4,8,7,5,4
0,isolated,C_update_on,21,0.222222,2.518519,4.485952,8,4,6,3,5,8,7,4,4
0,isolated,C_update_on,22,0.222222,2.518519,4.485952,8,5,6,3,4,8,7,5,4
0,isolated,C_update_on,23,0.222222,2.518519,4.485952,8,4,6,3,5,8,7,4,4
0,isolated,C_update_on,24,0.222222,2.518519,4.485952,8,5,6,3,4,8,7,5,4
0,isolated,C_update_on,25,0.222222,2.518519,4.485952,8,4,6,3,5,8,7,4,4
0,isolated,C_update_on,26,0.222222,2.518519,4.485952,8,5,6,3,4,8,7,5,4
