seed,env_mode,c_update,sym_var_init,sym_var_final,sym_var_second_half_mean,collective_var_init,collective_var_final,collective_var_second_half_mean,pairwise_dist_init,pairwise_dist_final,pairwise_dist_second_half_mean,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C,converged
9,isolated,C_update_off,0.000000,4.666667,3.697778,0.148148,4.000000,3.677037,1.138071,5.891869,5.646154,8,1,6,3,6,8,7,5,4,0
10,shared,C_update_on,0.666667,0.000000,0.000000,0.222222,0.000000,0.130370,1.333333,0.000000,0.825356,6,0,8,6,0,8,6,0,8,1
10,shared,C_update_off,0.000000,0.222222,0.293333,0.000000,0.074074,0.287407,0.000000,0.666667,1.434087,5,5,8,5,5,8,5,6,8,0
10,isolated,C_update_on,0.888889,0.000000,0.000000,0.370370,2.444444,2.444444,1.490712,4.426029,4.426029,8,0,6,3,0,8,7,0,4,1
10,isolated,C_update_off,0.000000,4.666667,4.275556,0.074074,4.000000,3.792593,0.666667,5.891869,5.748211,8,1,6,3,6,8,7,5,4,0
11,shared,C_update_on,0.666667,0.000000,0.000000,0.296296,0.074074,0.112593,1.550094,0.666667,0.695053,8,0,7,8,0,8,8,0,8,1
11,shared,C_update_off,0.000000,0.000000,0.311111,0.074074,0.370370,0.328889,0.666667,1.490712,1.561421,8,6,7,6,6,8,6,6,8,1
11,isolated,C_update_on,0.888889,0.000000,0.000000,0.666667,2.444444,2.296296,2.276142,4.426029,4.228868,8,0,6,3,0,8,7,0,4,1
11,isolated,C_update_off,0.000000,4.666667,4.275556,0.370370,4.000000,3.792593,1.745356,5.891869,5.748211,8,1,6,3,6,8,7,5,4,0
12,shared,C_update_on,0.666667,0.000000,0.000000,0.296296,0.000000,0.162963,1.550094,0.000000,0.893058,8,0,8,8,0,8,8,0,8,1
12,shared,C_update_off,0.000000,0.666667,0.293333,0.074074,0.296296,0.320000,0.666667,1.550094,1.425311,7,3,8,7,4,8,6,5,8,0
12,isolated,C_update_on,0.888889,0.000000,0.000000,0.444444,2.444444,2.296296,1.895186,4.426029,4.228868,8,0,6,3,0,8,7,0,4,1
12,isolated,C_update_off,0.000000,4.666667,3.937778,0.148148,4.000000,3.546667,1.138071,5.891869,5.545633,8,1,6,3,6,8,7,5,4,0
13,shared,C_update_on,0.666667,0.000000,0.000000,0.222222,0.074074,0.142222,1.333333,0.666667,0.872394,7,0,7,7,0,8,7,0,7,1
13,shared,C_update_off,0.000000,0.000000,0.293333,0.000000,0.148148,0.299259,0.000000,1.138071,1.408679,7,4,8,6,4,8,7,4,7,1
13,isolated,C_update_on,0.888889,0.000000,0.000000,0.370370,2.444444,2.296296,1.490712,4.426029,4.228868,8,0,6,3,0,8,7,0,4,1
13,isolated,C_update_off,0.000000,4.666667,4.275556,0.074074,4.000000,3.792593,0.666667,5.891869,5.748211,8,1,6,3,6,8,7,5,4,0
14,shared,C_update_on,0.666667,0.000000,0.000000,0.296296,0.148148,0.133333,1.550094,1.138071,0.847623,6,0,8,5,0,8,5,0,7,1
14,shared,C_update_off,0.000000,0.666667,0.320000,0.074074,0.592593,0.284444,0.666667,2.149830,1.438263,8,3,7,6,4,8,6,5,8,0
14,isolated,C_update_on,0.888889,0.000000,0.000000,0.370370,2.444444,2.296296,1.745356,4.426029,4.228868,8,0,6,3,0,8,7,0,4,1
14,isolated,C_update_off,0.000000,4.666667,3.902222,0.074074,4.000000,3.525926,0.666667,5.891869,5.495201,8,1,6,3,6,8,7,5,4,0
15,shared,C_update_on,0.666667,0.000000,0.000000,0.296296,0.370370,0.121481,1.550094,1.745356,0.715454,8,0,8,6,0,8,6,0,7,1
15,shared,C_update_off,0.000000,0.222222,0.222222,0.074074,0.148148,0.281481,0.666667,1.138071,1.314524,7,5,7,6,5,7,7,4,7,0
15,isolated,C_update_on,0.888889,0.000000,0.000000,0.444444,2.444444,2.296296,1.895186,4.426029,4.228868,8,0,6,3,0,8,7,0,4,1
15,isolated,C_update_off,0.000000,4.666667,4.275556,0.148148,4.000000,3.792593,1.138071,5.891869,5.748211,8,1,6,3,6,8,7,5,4,0
16,shared,C_update_on,0.666667,0.000000,0.000000,0.296296,0.370370,0.136296,1.550094,1.490712,0.710048,7,0,7,5,0,8,5,0,8,1
16,shared,C_update_off,0.000000,0.222222,0.400000,0.074074,0.592593,0.382222,0.666667,2.216761,1.702954,6,4,8,4,3,8,3,4,8,0
16,isolated,C_update_on,0.888889,0.000000,0.000000,0.444444,2.444444,2.296296,1.895186,4.426029,4.228868,8,0,6,3,0,8,7,0,4,1
16,isolated,C_update_off,0.000000,4.666667,4.275556,0.148148,4.000000,3.792593,1.138071,5.891869,5.748211,8,1,6,3,6,8,7,5,4,0
17,shared,C_update_on,0.666667,0.000000,0.000000,0.222222,0.148148,0.136296,1.333333,1.138071,0.878005,8,0,7,8,0,8,7,0,8,1
17,shared,C_update_off,0.000000,0.222222,0.284444,0.000000,0.148148,0.290370,0.000000,1.138071,1.437436,7,5,7,7,5,8,7,4,8,0
17,isolated,C_update_on,0.888889,0.000000,0.000000,0.370370,2.444444,2.296296,1.490712,4.426029,4.228868,8,0,6,3,0,8,7,0,4,1
17,isolated,C_update_off,0.000000,4.666667,4.275556,0.074074,4.000000,3.792593,0.666667,5.891869,5.748211,8,1,6,3,6,8,7,5,4,0
18,shared,C_update_on,0.666667,0.000000,0.000000,0.222222,0.074074,0.148148,1.333333,0.666667,0.874114,8,0,8,8,0,8,7,0,8,1
18,shared,C_update_off,0.000000,0.222222,0.266667,0.000000,0.222222,0.278519,0.000000,1.154701,1.410204,8,5,7,8,5,7,7,4,6,0
18,isolated,C_update_on,0.888889,0.000000,0.000000,0.296296,2.444444,2.444444,1.333333,4.426029,4.426029,8,0,6,3,0,8,7,0,4,1
18,isolated,C_update_off,0.000000,4.666667,4.275556,0.000000,4.000000,3.792593,0.000000,5.891869,5.748211,8,1,6,3,6,8,7,5,4,0
19,shared,C_update_on,0.666667,0.000000,0.000000,0.222222,0.000000,0.145185,1.333333,0.000000,0.832686,8,0,8,8,0,8,8,0,8,1
19,shared,C_update_off,0.000000,0.222222,0.373333,0.000000,0.222222,0.325926,0.000000,1.382088,1.538894,7,7,7,7,7,8,8,8,7,0
19,isolated,C_update_on,0.888889,0.000000,0.000000,0.370370,2.444444,2.444444,1.490712,4.426029,4.426029,8,0,6,3,0,8,7,0,4,1
19,isolated,C_update_off,0.000000,4.666667,4.275556,0.074074,4.000000,3.792593,0.666667,5.891869,5.748211,8,1,6,3,6,8,7,5,4,0
